"PC3"	"DU145"	"LNCaP"	"22Rv"	"WPMY1"	"VCaP"	"MDAPCa2b"	"HPV7"	"HPV10"	"RWPE1"	"RWPE2"	"NB11"	"W99"	"PWR1E"	"DUCaP"	"NB26"
"780"	8.40905394276018	8.58080229875179	8.66087151295356	9.18373168435411	7.20495843613967	8.69201730145759	9.32702400428975	10.1117725262035	9.89244501603792	10.014017258305	10.3001759152091	9.01277411386204	9.25343800278419	8.9410133932202	7.47793170120748	9.79887257786462
"5982"	9.02132648779888	8.77682321374805	8.71043202333237	10.1964188875227	9.31607154923444	9.03435901484888	8.64710722810726	8.63620044072333	9.2220003641547	8.81260195394754	8.37679396831465	9.58115028407898	9.2205768256794	9.11485701548543	8.44997795438138	8.28647070816807
"3310"	4.84002521872808	4.50927427439678	4.51176600401797	4.36287397300346	4.50025868750156	4.73741799078143	4.68271763126781	5.00955429468938	4.64004480756348	4.3215866514095	4.73309650563379	4.56137834183654	4.46689531470744	4.43232593852533	4.53729310657836	4.54894994986218
"7849"	4.88779068631116	4.91892952071699	4.9980862069816	5.25665749979378	4.90001077549195	5.00957902053419	4.96647466014733	5.027172609077	4.78244851859105	4.77627361852863	4.95009981255396	4.85803059023014	4.88518896749232	4.82813549230812	5.16191334482689	4.84620194523245
"2978"	3.83674772895234	3.7761119108397	3.78788537851384	3.84180292238046	3.83117266057927	3.64704529888879	3.84344532323549	3.69053929509246	3.60499697307355	3.77788985034811	3.80725421700036	3.59544761876915	3.74308536506791	3.88151892945105	4.12476740521759	3.65548681081589
"7318"	5.21372725607503	5.59672363610829	5.61016861518904	5.84675224031454	6.41846483265396	5.62063483894847	5.57324278755522	6.68508786101479	6.18862555076012	7.87116686093596	7.0672005823741	6.20424950614497	6.17045457183583	5.54417328359925	5.56577455616099	6.04408578874492
"7067"	5.10475000632237	5.24710990399692	5.35359142416836	5.20873916138214	5.3478949042804	5.18090457692603	5.39460874016244	5.04453658506044	4.90617207952013	4.92066887221837	5.01202949306697	4.966854585168	5.02624524446997	5.07679831106809	5.35580109295907	5.0256519978131
"11099"	5.05399313316385	4.70096762377258	5.15673315135862	4.55052341153365	4.74811502243141	5.09792220671983	4.91703028599055	5.11989845170091	4.92864585131607	4.83289009460755	5.09082684097789	5.31614559282088	5.16611068446081	5.07724107691841	4.78426927606779	5.29347392410932
"6352"	3.64200441670312	5.76344073544684	4.01906232199263	3.89731988046498	3.89516407711447	3.61223127128243	3.71257923486663	6.72811131994479	6.92329260113038	5.700699230018	4.21092937260069	4.20794912651105	3.93891459663756	3.82923944241062	3.78367227157738	4.23264552010142
"1571"	3.9470417380112	3.82615488763767	4.08842598454455	3.83655292580729	3.82845926683308	3.85775213166192	3.92440831879758	3.90457257048648	3.93444950835891	3.73957023003303	3.80378333917419	3.73970305537017	3.75726990753231	3.887144711593	3.92558830854055	3.82073320273092
